,added_time,published_time,modified_time,financial_instruments,url,url_hash,source,article_type,title,sentiment_score,technological_sentiment,ecosystem_sentiment,security_sentiment
0,2025-04-15 07:56:13,2025-04-14T13:32:37+00:00,2100-01-01 00:00:00,BTC,https://beincrypto.com/japan-bond-yields-bitcoin-impact-us-crypto-news/,788874571,bein,market-impacting,US Morning Crypto News Briefing,-0.5,0.0,-0.5,0.0
1,2025-04-15 07:56:50,2025-04-11T19:45:01+00:00,2100-01-01 00:00:00,BTC,https://decrypt.co/314498/spanish-police-crypto-scam-ai-21-million,32029950,decrypt,factual,Spanish Cops Arrest 6 in Crypto Scam Ring That Used AI to Con 208 People Out of $21.5M,-0.5,-0.5,-0.5,-1.0
2,2025-04-15 07:57:43,,2100-01-01 00:00:00,BTC,https://u.today/bitcoin-facing-hangover-after-biggest-pump-in-history-bloombergs-mike-mcglone-says,3376723681,utoday,market-impacting,Bitcoin shows 'enduring risk-asset apex' Giant crash arrived; Bitcoin and gold on rise: Kiyosaki,0.2,0.0,0.2,0.0
3,2025-04-15 07:57:43,,2100-01-01 00:00:00,XAU,https://u.today/bitcoin-facing-hangover-after-biggest-pump-in-history-bloombergs-mike-mcglone-says,3376723681,utoday,market-impacting,Bitcoin shows 'enduring risk-asset apex' Giant crash arrived; Bitcoin and gold on rise: Kiyosaki,0.8,0.0,0.8,0.0
4,2025-04-15 07:58:38,,2100-01-01 00:00:00,OM,https://www.coindesk.com/business/2025/04/14/nomura-s-laser-digital-denies-involvement-in-mantra-crash,3324461039,coindesk,market-impacting,Laser Digital Denies Involvement in Mantra Token Flash Crash,-0.8,0.0,-0.5,-0.2
5,2025-04-15 07:59:23,2025-04-14T11:30:00+00:00,2100-01-01 00:00:00,JUP,https://beincrypto.com/top-crypto-news-jupiter-eigenlayer-trump-unlocks/,2288795995,bein,market-impacting,"Top Crypto News This Week: Jupiter, EigenLayer, Fluid, KernelDAO, TRUMP, and Orca",0.5,0.8,0.7,0.5
6,2025-04-15 07:59:23,2025-04-14T11:30:00+00:00,2100-01-01 00:00:00,EIGEN,https://beincrypto.com/top-crypto-news-jupiter-eigenlayer-trump-unlocks/,2288795995,bein,market-impacting,"Top Crypto News This Week: Jupiter, EigenLayer, Fluid, KernelDAO, TRUMP, and Orca",0.3,0.9,0.6,0.8
7,2025-04-15 07:59:23,2025-04-14T11:30:00+00:00,2100-01-01 00:00:00,ETH,https://beincrypto.com/top-crypto-news-jupiter-eigenlayer-trump-unlocks/,2288795995,bein,market-impacting,"Top Crypto News This Week: Jupiter, EigenLayer, Fluid, KernelDAO, TRUMP, and Orca",0.2,0.5,0.4,0.6
8,2025-04-15 07:59:23,2025-04-14T11:30:00+00:00,2100-01-01 00:00:00,KERNEL,https://beincrypto.com/top-crypto-news-jupiter-eigenlayer-trump-unlocks/,2288795995,bein,market-impacting,"Top Crypto News This Week: Jupiter, EigenLayer, Fluid, KernelDAO, TRUMP, and Orca",0.6,0.7,0.8,0.5
9,2025-04-15 07:59:23,2025-04-14T11:30:00+00:00,2100-01-01 00:00:00,TRUMP,https://beincrypto.com/top-crypto-news-jupiter-eigenlayer-trump-unlocks/,2288795995,bein,market-impacting,"Top Crypto News This Week: Jupiter, EigenLayer, Fluid, KernelDAO, TRUMP, and Orca",-0.2,0.2,0.3,0.4
10,2025-04-15 07:59:23,2025-04-14T11:30:00+00:00,2100-01-01 00:00:00,ORCA,https://beincrypto.com/top-crypto-news-jupiter-eigenlayer-trump-unlocks/,2288795995,bein,market-impacting,"Top Crypto News This Week: Jupiter, EigenLayer, Fluid, KernelDAO, TRUMP, and Orca",0.4,0.6,0.7,0.5
11,2025-04-15 08:00:14,,2100-01-01 00:00:00,BTC,https://www.coindesk.com/news-analysis/2025/04/11/u-s-crypto-lobbyists-flooding-the-zone-but-are-there-too-many,1677909915,coindesk,factual,Crypto's Moment in Washington: A Crowded Field of Advocacy Groups,0.5,0.5,0.7,0.3
12,2025-04-15 08:00:14,,2100-01-01 00:00:00,SOL,https://www.coindesk.com/news-analysis/2025/04/11/u-s-crypto-lobbyists-flooding-the-zone-but-are-there-too-many,1677909915,coindesk,factual,Crypto's Moment in Washington: A Crowded Field of Advocacy Groups,0.7,0.8,0.8,0.5
13,2025-04-15 08:00:48,2025-04-11T06:56:32+00:00,2100-01-01 00:00:00,COIN,https://decrypt.co/314477/coinbase-slams-fdic-absurd-delays-crypto-debanking-records-lawsuit,3556001575,decrypt,market-impacting,Coinbase Opposes FDIC's Request to Delay Response in Debanking Lawsuit,0.5,0.0,0.5,0.0
14,2025-04-15 08:01:18,2025-04-14T21:38:31+00:00,2100-01-01 00:00:00,BTC,https://decrypt.co/314749/tether-bitcoin-mining-pool-ocean,1134490492,decrypt,market-impacting,Tether to Deploy Hashrate to Bitcoin Mining Pool Ocean,0.5,0.8,0.7,0.5
15,2025-04-15 08:01:18,2025-04-14T21:38:31+00:00,2100-01-01 00:00:00,USDT,https://decrypt.co/314749/tether-bitcoin-mining-pool-ocean,1134490492,decrypt,market-impacting,Tether to Deploy Hashrate to Bitcoin Mining Pool Ocean,0.3,0.2,0.5,0.2
16,2025-04-15 08:01:49,2025-04-14T01:42:25+00:00,2100-01-01 00:00:00,ETH,https://decrypt.co/314654/man-pleads-guilty-false-tax-returns-13m-cryptopunks-sales,3012333106,decrypt,factual,Pennsylvania Man Pleads Guilty to Hiding Millions in CryptoPunks Income,0.0,0.0,0.0,0.0
17,2025-04-15 08:02:30,2025-04-11T17:09:04+00:00,2100-01-01 00:00:00,BTC,https://decrypt.co/314499/blackrock-crypto-asset-holdings-down-5-billion-bitcoin-ethereum-fall,1451979945,decrypt,market-impacting,BlackRock's Crypto ETFs See Inflows Despite Bitcoin and Ethereum Price Slump,-0.5,0.0,0.5,0.5
18,2025-04-15 08:02:30,2025-04-11T17:09:04+00:00,2100-01-01 00:00:00,ETH,https://decrypt.co/314499/blackrock-crypto-asset-holdings-down-5-billion-bitcoin-ethereum-fall,1451979945,decrypt,market-impacting,BlackRock's Crypto ETFs See Inflows Despite Bitcoin and Ethereum Price Slump,-0.7,0.0,0.3,0.5
19,2025-04-15 08:02:57,2025-04-14T00:00:00+00:00,2100-01-01 00:00:00,BTC,https://coinbureau.com/newsletters/trumps-bitcoin-plan/,4094055419,coinbureau,market-impacting,Crypto Market Forecast,0.5,0.5,0.5,0.5
20,2025-04-15 08:03:49,,2100-01-01 00:00:00,BTC,https://www.coindesk.com/markets/2025/04/14/bitcoin-hovers-at-usd85k-as-fed-s-waller-suggests-bad-news-rate-cuts-if-tariffs-resume,1656921059,coindesk,market-impacting,Bitcoin Drifts Upwards as Market Adjusts to Trade-Related News,0.6,0.8,0.8,0.5
21,2025-04-15 08:03:49,,2100-01-01 00:00:00,ETH,https://www.coindesk.com/markets/2025/04/14/bitcoin-hovers-at-usd85k-as-fed-s-waller-suggests-bad-news-rate-cuts-if-tariffs-resume,1656921059,coindesk,market-impacting,Bitcoin Drifts Upwards as Market Adjusts to Trade-Related News,0.7,0.5,0.5,0.5
22,2025-04-15 08:03:49,,2100-01-01 00:00:00,SOL,https://www.coindesk.com/markets/2025/04/14/bitcoin-hovers-at-usd85k-as-fed-s-waller-suggests-bad-news-rate-cuts-if-tariffs-resume,1656921059,coindesk,market-impacting,Bitcoin Drifts Upwards as Market Adjusts to Trade-Related News,0.8,0.5,0.5,0.5
23,2025-04-15 08:03:49,,2100-01-01 00:00:00,AVAX,https://www.coindesk.com/markets/2025/04/14/bitcoin-hovers-at-usd85k-as-fed-s-waller-suggests-bad-news-rate-cuts-if-tariffs-resume,1656921059,coindesk,market-impacting,Bitcoin Drifts Upwards as Market Adjusts to Trade-Related News,0.8,0.5,0.5,0.5
24,2025-04-15 08:03:49,,2100-01-01 00:00:00,MSTR,https://www.coindesk.com/markets/2025/04/14/bitcoin-hovers-at-usd85k-as-fed-s-waller-suggests-bad-news-rate-cuts-if-tariffs-resume,1656921059,coindesk,market-impacting,Bitcoin Drifts Upwards as Market Adjusts to Trade-Related News,0.8,0.5,0.5,0.5
25,2025-04-15 08:03:49,,2100-01-01 00:00:00,MARA,https://www.coindesk.com/markets/2025/04/14/bitcoin-hovers-at-usd85k-as-fed-s-waller-suggests-bad-news-rate-cuts-if-tariffs-resume,1656921059,coindesk,market-impacting,Bitcoin Drifts Upwards as Market Adjusts to Trade-Related News,0.8,0.5,0.5,0.5
26,2025-04-15 08:04:30,2025-04-13T18:01:03+00:00,2100-01-01 00:00:00,IMX,https://decrypt.co/314328/this-week-crypto-games-tokens-crash-eve-frontier,2876514362,decrypt,factual,This Week in Crypto Games,-0.5,0.5,-0.5,0.0
27,2025-04-15 08:04:30,2025-04-13T18:01:03+00:00,2100-01-01 00:00:00,SAND,https://decrypt.co/314328/this-week-crypto-games-tokens-crash-eve-frontier,2876514362,decrypt,factual,This Week in Crypto Games,-0.5,0.0,-0.5,0.0
28,2025-04-15 08:04:30,2025-04-13T18:01:03+00:00,2100-01-01 00:00:00,GALA,https://decrypt.co/314328/this-week-crypto-games-tokens-crash-eve-frontier,2876514362,decrypt,factual,This Week in Crypto Games,-0.5,0.0,-0.5,0.0
29,2025-04-15 08:05:17,,2100-01-01 00:00:00,XRP,https://u.today/ripple-supporter-kitao-nears-fuji-board-seat,2378630682,utoday,market-impacting,Dalton Investments Tips SBI Holdings CEO as Candidate for Fuji Media Holdings Board,0.5,0.8,0.5,0.0
30,2025-04-15 08:05:40,,2100-01-01 00:00:00,XRP,https://u.today/xrp-will-death-cross-happen-anyway,2731271620,utoday,market-impacting,XRP's Recent Spike Above $2 May Have Been Premature,-0.6,-0.8,-0.7,0.0
31,2025-04-15 08:06:16,2025-04-14T11:08:12+00:00,2100-01-01 00:00:00,BTC,https://beincrypto.com/bitcoin-reclaim-all-time-high-2025/,1166414292,bein,market-impacting,"Bitcoin Has 77% Chance of Reclaiming All-Time High This Year, Says Expert",0.8,0.2,0.8,0.2
32,2025-04-15 08:06:54,2025-04-11T16:00:22+00:00,2100-01-01 00:00:00,BTC,https://decrypt.co/314418/does-bitcoin-supporter-pierre-poilievre-win-canada-election,1360305082,decrypt,market-impacting,Canadians Go to the Polls to Choose a New Prime Minister—Will They Elect the Bitcoin Advocate?,0.2,0.5,0.3,0.0
33,2025-04-15 08:08:07,,2100-01-01 00:00:00,EURC,https://www.coindesk.com/markets/2025/04/14/circle-s-eurc-stablecoin-surges-43-to-record-supply-as-dollar-troubles-fuel-demand,1473505784,coindesk,market-impacting,Circle's Euro-Backed Stablecoin EURC Surges to Record Supply Amid US Trade Tensions,0.8,0.5,0.8,0.5
