symbol,sentiment_score,uncertainty_score,potential_market_impact,count
LINK,0.8166666666666668,0.18333333333333335,0.7833333333333333,6
ARB,0.8,0.3,0.7,1
DOT,0.8,0.2,0.8,1
CRO,0.8,0.30000000000000004,0.875,2
MATIC,0.8,0.2,0.8,1
XRP,0.64,0.26,0.7,5
SOL,0.4428571428571429,0.2928571428571428,0.6214285714285713,14
BTC,0.33421052631578946,0.3907894736842105,0.5236842105263158,38
ETH,0.3,0.3333333333333333,0.5666666666666667,6
BNB,0.24999999999999997,0.3,0.7,2
SKY,0.2,0.4,0.7,1
DOGE,0.15,0.7,0.30000000000000004,2
HBAR,-0.4,0.3,0.6,1
XLM,-0.4,0.2,0.8,1
